"enabled","id","moduleid","permissionsentity","entityid","group"
"true","AaDKPpRUf5XPJpXMMt-F","asset","importurl",,"users"
"true","AaDKPpRUf5XPJpXMMt-G","asset","importassets",,"users"
"true","AaDKPpRUf5XPJpXMMt-I","asset","importpushtoserver",,"users"
"true","AaDKPpRUf5XPJpXMMt-J","asset","copyentity",,"users"
"true","AaDKPpRUf5XPJpXMMt-R","asset","assetfileproperties",,"users"
"true","AaDKPpRUf5XPJpXMMt-S","asset","assetlightboxes",,"users"
"true","AaDKN7FIf5XPJpXMMt0p","asset","multidelete",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0q","asset","emaillink",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0s","asset","shareasset",,"administrators"
"true","AaDKN7FIf5XPJpXMMt06","asset","editassetcategories",,"administrators"
"true","AaDKN7FJf5XPJpXMMt09","asset","deletecomments",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1A","asset","viewassetpreviewhistory",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1G","asset","viewcroppingtool",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1I","asset","viewtimeline",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1R","asset","viewfaceprofile",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1T","asset","view",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1U","asset","create",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1W","asset","createassetswithai",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1X","asset","edit",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1Y","asset","delete",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1f","asset","chat_add_attachments",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1o","asset","importpushtoserver",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1u","asset","exportpulltoserver",,"administrators"
"true","AaDKPpRUf5XPJpXMMt9L","asset","editallassets",,"users"
"true","AaDKPpRUf5XPJpXMMt9N","asset","editmetadatasetup",,"users"
"true","AaDKPpRUf5XPJpXMMt9P","asset","publish",,"users"
"true","AaDKPpRUf5XPJpXMMt9R","asset","printpreview",,"users"
"true","AaDKPpRUf5XPJpXMMt9Z","asset","viewupload",,"users"
"true","AaDKPpRUf5XPJpXMMt9e","asset","showbadge",,"users"
"true","AaDKPpRUf5XPJpXMMt9h","asset","converthistory",,"users"
"true","AaDKPpRUf5XPJpXMMt9t","asset","showunwatermarkedassets",,"users"
"true","AaDKPpRUf5XPJpXMMt9z","asset","view",,"users"
"true","AaDKPpRUf5XPJpXMMt-D","asset","upload_files",,"users"
"true","AaDKPpRUf5XPJpXMMt-N","asset","postizshare",,"users"
"true","AaC28OtAVVwP4zQMKVhg","asset","assetgeneral",,"guests"
"true","AaDKN7FIf5XPJpXMMt0n","asset","editmetadatasetup",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0r","asset","publish",,"administrators"
"true","AaDKN7FIf5XPJpXMMt0y","asset","convert",,"administrators"
"true","AaDKN7FIf5XPJpXMMt05","asset","editadvancedsearch",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1C","asset","viewmap",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1E","asset","mediaeditsave",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1F","asset","mediaeditsaveas",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1J","asset","viewclosedcaptions",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1M","asset","showpendingassets",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1Z","asset","view_files",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1d","asset","publishinggallery",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1h","asset","chat_edit_messages",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1i","asset","chat_message_reactions",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1j","asset","upload_files",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1k","asset","upload_folders",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1q","asset","moveentity",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1r","asset","downloadall",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1t","asset","postizshare",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1w","asset","assetstatus",,"administrators"
"true","AaDKN7FJf5XPJpXMMt1y","asset","assetlightboxes",,"administrators"
"true","AaDKPpRUf5XPJpXMMt9Q","asset","shareasset",,"users"
"true","AaDKPpRUf5XPJpXMMt9S","asset","viewconversions",,"users"
"true","AaDKPpRUf5XPJpXMMt9T","asset","download",,"users"
"true","AaDKPpRUf5XPJpXMMt9c","asset","editassetcategories",,"users"
"true","AaDKPpRUf5XPJpXMMt9f","asset","deletecomments",,"users"
"true","AaDKPpRUf5XPJpXMMt9m","asset","mediaeditsave",,"users"
"true","AaDKPpRUf5XPJpXMMt9p","asset","viewassets",,"users"
"true","AaDKPpRUf5XPJpXMMt9v","asset","hidedeletedassets",,"users"
"true","AaDKPpRUf5XPJpXMMt92","asset","createassetswithai",,"users"
"true","AaDKPpRUf5XPJpXMMt94","asset","delete",,"users"
"true","AaDKPpRUf5XPJpXMMt95","asset","view_files",,"users"
"true","AaDKPpRUf5XPJpXMMt96","asset","assign_files",,"users"
"true","AaDKPpRUf5XPJpXMMt98","asset","share",,"users"
"true","AaDKPpRUf5XPJpXMMt9-","asset","view_assetworkflow",,"users"
"true","AaDKPpRUf5XPJpXMMt-E","asset","upload_folders",,"users"
"true","AaDKPpRUf5XPJpXMMt-K","asset","moveentity",,"users"
"true","AaDKPpRUf5XPJpXMMt-M","asset","shareentity",,"users"
